GENOME 1
1, 1, 5, 2.43725, 1,
2, 2, 5, 0.25, 1,
3, 3, 5, 0.92901, 0,
4, 4, 5, 0.0915969, 1,
206, 3, 93, 0.587191, 1,
207, 93, 5, 0.378253, 1,
219, 2, 93, 0.428601, 1,
508, 3, 208, 1, 1,
509, 208, 5, 0.92901, 1,
521, 208, 93, 0, 1,
GENOME 2
1, 1, 5, 2.50993, 1,
2, 2, 5, -1.66717, 1,
3, 3, 5, -1.89677, 1,
4, 4, 5, -2.09974, 1,
206, 3, 93, 0.746007, 1,
207, 93, 5, 0.410509, 1,
219, 2, 93, 0.470649, 1,
GENOME 3
1, 1, 5, 2.00228, 1,
2, 2, 5, 1.78264, 1,
3, 3, 5, 1.09346, 1,
4, 4, 5, 1.39471, 1,
206, 3, 93, 0.9295, 1,
207, 93, 5, 0.360935, 1,
219, 2, 93, -1.1225, 1,
GENOME 4
1, 1, 5, 4.77527, 1,
2, 2, 5, 0.341847, 1,
3, 3, 5, 1.02551, 1,
4, 4, 5, 2.9733, 1,
221, 1, 99, 0.376681, 1,
222, 99, 5, 0.600214, 1,
263, 4, 116, -2.22292, 1,
264, 116, 5, -1.1018, 1,
322, 116, 140, 4.15506, 1,
323, 140, 5, 0.25, 0,
361, 4, 153, 0.25, 1,
362, 153, 5, 1.05658, 1,
413, 2, 116, 4.86308, 1,
458, 140, 190, 1.63211, 1,
459, 190, 5, 0.16865, 1,
511, 140, 209, 1, 1,
512, 209, 5, 0.314758, 1,
GENOME 5
1, 1, 5, 4.80799, 1,
2, 2, 5, 0.25, 1,
3, 3, 5, 3.40841, 1,
4, 4, 5, 0.945556, 1,
221, 1, 99, 2.72401, 1,
222, 99, 5, 3.46314, 1,
263, 4, 116, 30.9501, 1,
264, 116, 5, 37.4363, 1,
322, 116, 140, 0.334549, 1,
323, 140, 5, 0.338528, 1,
361, 4, 153, 0.315694, 1,
362, 153, 5, 3.91114, 1,
413, 2, 116, 5.70726, 1,
458, 140, 190, 1.60702, 1,
459, 190, 5, 101.566, 1,
GENOME 6
1, 1, 5, 3.99664, 1,
2, 2, 5, -0.938189, 1,
3, 3, 5, 2.8209, 1,
4, 4, 5, 0.74923, 1,
221, 1, 99, 7.24525, 1,
222, 99, 5, 4.26304, 1,
263, 4, 116, 26.1555, 1,
264, 116, 5, 37.4363, 1,
322, 116, 140, 2.72923, 1,
323, 140, 5, 0.25, 1,
361, 4, 153, 1.95198, 1,
362, 153, 5, 3.43644, 1,
413, 2, 116, 5.86759, 1,
458, 140, 190, 1.10622, 1,
459, 190, 5, 130.236, 1,
GENOME 7
1, 1, 5, -0.772388, 1,
2, 2, 5, 0.25, 1,
3, 3, 5, 0.307887, 1,
4, 4, 5, 0.393251, 1,
221, 1, 99, 0.439401, 1,
222, 99, 5, 4.31866, 1,
263, 4, 116, 24.7042, 1,
264, 116, 5, 41.7096, 1,
322, 116, 140, 0.354439, 1,
323, 140, 5, 0.294344, 1,
361, 4, 153, 0.25, 1,
362, 153, 5, 2.76248, 1,
413, 2, 116, 2.58932, 1,
458, 140, 190, 1.3829, 1,
459, 190, 5, 267.172, 1,
GENOME 8
1, 1, 5, 0.283896, 1,
2, 2, 5, 0.43492, 0,
3, 3, 5, 2.96702, 1,
4, 4, 5, 0.289321, 0,
431, 4, 180, 1.59161, 1,
432, 180, 5, 1.41288, 1,
515, 1, 180, 0, 1,
522, 2, 212, 1, 1,
523, 212, 5, 0.43492, 1,
GENOME 9
1, 1, 5, 8.92531, 1,
2, 2, 5, 2.67832, 1,
